x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
531;cinq-cent-trente-et-un;cinq-cent-trente-et-un;cinq-cent-trente-et-unième;cinq-cent-trente-et-unième;531ème;531ème
532;cinq-cent-trente-deux;cinq-cent-trente-deux;cinq-cent-trente-deuxième;cinq-cent-trente-deuxième;532ème;532ème
533;cinq-cent-trente-trois;cinq-cent-trente-trois;cinq-cent-trente-troisième;cinq-cent-trente-troisième;533ème;533ème
534;cinq-cent-trente-quatre;cinq-cent-trente-quatre;cinq-cent-trente-quatrième;cinq-cent-trente-quatrième;534ème;534ème
535;cinq-cent-trente-cinq;cinq-cent-trente-cinq;cinq-cent-trente-cinquième;cinq-cent-trente-cinquième;535ème;535ème
536;cinq-cent-trente-six;cinq-cent-trente-six;cinq-cent-trente-sixième;cinq-cent-trente-sixième;536ème;536ème
537;cinq-cent-trente-sept;cinq-cent-trente-sept;cinq-cent-trente-septième;cinq-cent-trente-septième;537ème;537ème
538;cinq-cent-trente-huit;cinq-cent-trente-huit;cinq-cent-trente-huitième;cinq-cent-trente-huitième;538ème;538ème
539;cinq-cent-trente-neuf;cinq-cent-trente-neuf;cinq-cent-trente-neuvième;cinq-cent-trente-neuvième;539ème;539ème
540;cinq-cent-quarante;cinq-cent-quarante;cinq-cent-quarantième;cinq-cent-quarantième;540ème;540ème
541;cinq-cent-quarante-et-un;cinq-cent-quarante-et-un;cinq-cent-quarante-et-unième;cinq-cent-quarante-et-unième;541ème;541ème
542;cinq-cent-quarante-deux;cinq-cent-quarante-deux;cinq-cent-quarante-deuxième;cinq-cent-quarante-deuxième;542ème;542ème
543;cinq-cent-quarante-trois;cinq-cent-quarante-trois;cinq-cent-quarante-troisième;cinq-cent-quarante-troisième;543ème;543ème
544;cinq-cent-quarante-quatre;cinq-cent-quarante-quatre;cinq-cent-quarante-quatrième;cinq-cent-quarante-quatrième;544ème;544ème
545;cinq-cent-quarante-cinq;cinq-cent-quarante-cinq;cinq-cent-quarante-cinquième;cinq-cent-quarante-cinquième;545ème;545ème
546;cinq-cent-quarante-six;cinq-cent-quarante-six;cinq-cent-quarante-sixième;cinq-cent-quarante-sixième;546ème;546ème
547;cinq-cent-quarante-sept;cinq-cent-quarante-sept;cinq-cent-quarante-septième;cinq-cent-quarante-septième;547ème;547ème
548;cinq-cent-quarante-huit;cinq-cent-quarante-huit;cinq-cent-quarante-huitième;cinq-cent-quarante-huitième;548ème;548ème
549;cinq-cent-quarante-neuf;cinq-cent-quarante-neuf;cinq-cent-quarante-neuvième;cinq-cent-quarante-neuvième;549ème;549ème
550;cinq-cent-cinquante;cinq-cent-cinquante;cinq-cent-cinquantième;cinq-cent-cinquantième;550ème;550ème
551;cinq-cent-cinquante-et-un;cinq-cent-cinquante-et-un;cinq-cent-cinquante-et-unième;cinq-cent-cinquante-et-unième;551ème;551ème
